Title: 350 micron Polarimetry from the Caltech Submillimeter Observatory  
Authors: Dotson J.L., Vaillancourt J.E., Kirby L., Dowell C.D., Hildebrand R.H.,
         Davidson J.A.
Table: Data
================================================================================
Byte-by-byte Description of file: apjs333144t2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units  Label Explanations
--------------------------------------------------------------------------------
   1- 15 A15    ---    Name  Object name
  17- 20 I4     arcsec oRA   Right Ascension offset from center 
  22- 25 I4     arcsec oDE   Declination offset from center
  27- 31 F5.1   pix    oX    X pixel offset from center (1) 
  33- 37 F5.1   pix    oY    Y pixel offset from center (1)
  39- 43 F5.2   %      P     Polarization magnitude
  45- 49 F5.2   %    e_P     Uncertainty in P
  51- 55 F5.1   deg    PA    Polarization position angle; degrees east of north
  57- 62 F6.1   deg  e_PA    Uncertainty in PA
  64- 69 F6.1   Jy     Int   Source intensity in units of Jy/beam
  71- 74 F4.1   Jy   e_Int   Uncertainty in Int in units of Jy/beam
  76- 78 I3     ---    Num   Number of measurements
--------------------------------------------------------------------------------
Note (1): oX is parallel to RA, except M17 is 16 degrees CW from RA and M82 
          is 24 degrees CW from RA.  oY is parallel to Dec, except M17 is 
          16 degrees CW from Dec and M82 is 24 degrees CW from Dec. Pixel 
          offsets in the x- and y-directions are given in units of the pixel
          center-to-center spacing, 17.8 arcseconds. Right Ascension and 
          Declination offsets are calculated using this spacing and are 
          rounded to the nearest arcsecond; offsets are given with respect to 
W3               -71  -36  -4.0  -2.0  0.47  0.50 102.4   35.8  146.0  2.7  16 
W3               -71  -18  -4.0  -1.0  0.79  0.17  30.8    6.2  179.0  0.9  37 
W3               -71    0  -4.0   0.0  0.65  0.09  32.5    3.8  307.8  0.8  45 
W3               -71   18  -4.0   1.0  0.56  0.07  42.6    3.4  388.7  0.8  44 
W3               -71   36  -4.0   2.0  0.43  0.10  69.5    6.6  279.0  0.9  43 
W3               -71   53  -4.0   3.0  0.84  0.17  69.6    5.7  151.2  0.8  41 
W3               -71   71  -4.0   4.0  1.42  0.23  69.8    4.7   99.9  1.2  36 
W3               -71   89  -4.0   5.0  0.69  0.48  70.3   19.8   65.0  6.3  16 
W3               -53 -107  -3.0  -6.0  6.14  2.41  81.5   11.1   30.9  1.4   8 
W3               -53  -89  -3.0  -5.0  4.67  1.48  95.5    9.0   41.0  1.1  10 
W3               -53  -71  -3.0  -4.0  1.31  0.94 112.6   20.5   61.4  1.1  11 
W3               -53  -53  -3.0  -3.0  1.19  0.58 108.9   14.0  106.1  1.1  11 
W3               -53  -36  -3.0  -2.0  0.74  0.36  69.9   14.0  135.9  0.8  30 
W3               -53  -18  -3.0  -1.0  0.38  0.16 179.9   11.7  189.7  0.4  67 
W3               -53    0  -3.0   0.0  0.51  0.10  11.1    5.4  279.8  0.4  75 
W3               -53   18  -3.0   1.0  0.45  0.08   8.0    5.1  334.0  0.4  74 
W3               -53   36  -3.0   2.0  0.40  0.13 109.6   10.4  333.3  0.0  59 
W3               -53   53  -3.0   3.0  1.37  0.15  79.7    3.2  176.2  0.8  42 
W3               -53   71  -3.0   4.0  1.51  0.23  77.3    4.2  102.0  1.0  36 
W3               -53   89  -3.0   5.0  1.87  0.43  72.1    6.6   70.7  6.1  16 
W3               -36 -107  -2.0  -6.0  9.42  2.54  98.2    7.9   34.7  1.6   8 
W3               -36  -89  -2.0  -5.0  3.06  1.58  92.6   14.8   44.0  1.1  10 
W3               -36  -71  -2.0  -4.0  1.02  0.93  78.8   26.2   65.3  1.0  11 
W3               -36  -53  -2.0  -3.0  1.04  0.43  85.1   11.8  120.0  1.2  26 
W3               -36  -36  -2.0  -2.0  0.94  0.33  98.1   18.0  145.0  0.6  56 
W3               -36  -18  -2.0  -1.0  0.93  0.24 118.3    6.1  204.9  0.4  85 
W3               -36    0  -2.0   0.0  0.67  0.11 164.4    4.8  248.7  0.4  95 
W3               -36   18  -2.0   1.0  0.37  0.11 170.4    8.3  226.0  0.3 100 
W3               -36   36  -2.0   2.0  0.23  0.11  99.9   13.3  210.9  0.4  87 
W3               -36   53  -2.0   3.0  0.89  0.13  93.5    4.2  174.7  0.0  55 
W3               -36   71  -2.0   4.0  1.39  0.22  78.4    4.6  117.8  1.7  28 
W3               -36   89  -2.0   5.0  1.97  0.55  72.7    7.9   77.0  6.2  10 
W3               -18 -107  -1.0  -6.0  3.92  3.82  76.0   27.8   37.3  3.1   4 
W3               -18  -89  -1.0  -5.0  4.57  1.73  70.4   10.8   49.8  1.3   9 
W3               -18  -71  -1.0  -4.0  4.39  0.95  81.5    6.2   68.3  1.1  11 
W3               -18  -53  -1.0  -3.0  0.59  0.46  67.7   22.5  101.8  0.6  38 
W3               -18  -36  -1.0  -2.0  0.90  0.29  84.0    9.9  139.1  0.6  69 
W3               -18  -18  -1.0  -1.0  0.43  0.18  97.8   12.2  234.2  0.8  68 
W3               -18    0  -1.0   0.0  0.57  0.13 169.2    7.1  299.8  0.9  74 
W3               -18   18  -1.0   1.0  0.50  0.14  13.0    8.0  232.9  0.6  82 
W3               -18   36  -1.0   2.0  0.57  0.21  76.5    8.4  181.8  0.6  82 
W3               -18   53  -1.0   3.0  1.12  0.19  84.2    8.3  148.8  0.7  53 
W3               -18   71  -1.0   4.0  1.82  0.38  77.8    5.8   98.7  3.4  11 
W3                -0  -89   0.0  -5.0  4.56  3.37  50.2   21.3   52.3  2.8   4 
W3                -0  -71   0.0  -4.0  3.24  1.45  59.0   12.8   63.6  2.0   5 
W3                -0  -53   0.0  -3.0  1.15  0.58  69.2   14.4   98.8  1.0  32 
W3                -0  -36   0.0  -2.0  0.79  0.30  91.0   10.8  137.0  0.9  64 
W3                -0  -18   0.0  -1.0  0.56  0.19  63.7    9.4  244.1  2.4  61 
W3                 0    0   0.0   0.0  0.50  0.12  48.2    6.0  480.0  4.0  60 
W3                 0   18   0.0   1.0  1.00  0.16  80.0    4.7  304.8 10.9  59 
W3                 0   36   0.0   2.0  0.87  0.27  90.3    8.9  211.7  0.3  58 
W3                 0   53   0.0   3.0  2.34  0.52  71.7    6.4  157.3  0.6  32 
W3                18  -53   1.0  -3.0  0.45  0.80  84.3   51.4  100.0  0.7  26 
W3                18  -36   1.0  -2.0  0.95  0.36  67.5   10.8  141.6  0.3  57 
W3                18  -18   1.0  -1.0  0.86  0.22  67.4    7.4  241.8  0.3  57 
W3                18   -0   1.0   0.0  0.62  0.15  66.2    7.0  354.2  0.3  58 
W3                18   18   1.0   1.0  1.08  0.22  99.6    5.8  258.0  0.3  58 
W3                18   36   1.0   2.0  1.39  0.33  90.8    6.7  170.2  0.3  58 
W3                18   53   1.0   3.0  2.56  0.57  80.0    6.5  126.7  0.6  32 
W3                36  -53   2.0  -3.0  2.00  1.21  43.7   17.4   92.2  1.6  12 
W3                36  -36   2.0  -2.0  1.97  0.54  66.5    7.8  120.2  0.4  41 
W3                36  -18   2.0  -1.0  1.12  0.29  55.4    7.3  186.3  0.3  57 
W3                36   -0   2.0   0.0  0.98  0.24  81.1    7.1  227.1  0.3  57 
W3                36   18   2.0   1.0  0.47  0.29 107.1   17.7  198.2  0.3  57 
W3                36   36   2.0   2.0  2.61  0.41  73.6    4.4  154.8  0.4  43 
W3                36   53   2.0   3.0  1.69  0.97 135.3   16.5  106.8  1.2  15 
W3                53  -36   3.0  -2.0  1.88  1.15  38.4   17.6  104.0  1.6  12 
W3                53  -18   3.0  -1.0  0.96  0.56  18.8   16.8  139.6  0.7  27 
W3                53   -0   3.0   0.0  1.21  0.43  42.9   10.3  175.7  0.7  27 
W3                53   18   3.0   1.0  1.47  0.45  63.0    8.7  173.0  0.7  27 
W3                53   36   3.0   2.0  1.67  0.75  60.7   12.9  138.2  1.3  15 
NGC_1333         -36  -71  -2.0  -4.0  1.57  0.78  82.6   14.3   19.0  0.3   8 
NGC_1333         -36  -53  -2.0  -3.0  0.09  0.69 140.7  215.1   27.2  0.3   8 
NGC_1333         -36  -36  -2.0  -2.0  0.61  0.36 118.1   17.4   36.0  0.3   8 
NGC_1333         -36  -18  -2.0  -1.0  1.46  0.68  91.6   13.4   30.0  0.4   8 
NGC_1333         -18  -89  -1.0  -5.0  0.50  0.86  86.7   49.0   19.7  0.4   8 
NGC_1333         -18  -71  -1.0  -4.0  2.06  1.15 117.3   15.7   30.0  0.4   8 
NGC_1333         -18  -53  -1.0  -3.0  1.79  0.29  76.5    4.5   32.0  0.1  33 
NGC_1333         -18  -36  -1.0  -2.0  0.66  0.30 106.6   13.1   39.4  0.1  32 
NGC_1333         -18  -18  -1.0  -1.0  0.37  0.15 103.9   11.6   59.9  0.1  33 
NGC_1333         -18    0  -1.0   0.0  0.71  0.25  72.9   10.2   46.9  0.1  33 
NGC_1333          -0  -89   0.0  -5.0  1.47  0.95   4.8   18.6   17.5  0.4   8 
NGC_1333          -0  -71   0.0  -4.0  0.87  0.40  74.0   13.1   24.3  0.1  33 
NGC_1333          -0  -53   0.0  -3.0  0.77  0.64  77.7   23.8   26.4  0.1  33 
NGC_1333          -0  -36   0.0  -2.0  0.79  0.37  57.3   13.2   23.2  0.1  33 
NGC_1333          -0  -18   0.0  -1.0  0.40  0.36  65.5   25.7   35.0  0.1  33 
NGC_1333           0    0   0.0   0.0  0.34  0.29 123.5   24.4   44.0  0.1  32 
NGC_1333           0   18   0.0   1.0  1.05  0.66  74.9   17.9   18.6  0.2  25 
NGC_1333          18  -89   1.0  -5.0  2.91  1.10  78.4   10.6   17.8  0.4   8 
NGC_1333          18  -71   1.0  -4.0  1.94  0.59  89.6    8.8   17.8  0.1  33 
NGC_1333          18  -53   1.0  -3.0  1.14  0.43  86.0   10.8   21.9  0.1  33 
NGC_1333          18  -36   1.0  -2.0  2.17  0.54  89.6    7.1   24.4  0.1  33 
NGC_1333          18  -18   1.0  -1.0  0.49  0.40  64.2   22.7   21.1  0.1  33 
NGC_1333          18   -0   1.0   0.0  0.58  0.61 166.5   30.3   21.8  0.1  33 
NGC_1333          18   18   1.0   1.0  2.74  1.13  65.5   11.8   15.2  0.2  25 
NGC_1333          36  -89   2.0  -5.0  3.50  1.31  66.7   11.0   22.3  0.5   8 
NGC_1333          36  -71   2.0  -4.0  2.31  0.55  70.6    6.7   19.5  0.1  33 
NGC_1333          36  -53   2.0  -3.0  2.02  0.52  64.5    7.4   19.8  0.1  33 
NGC_1333          36  -36   2.0  -2.0  1.22  0.44  92.5   10.5   26.0  0.1  33 
NGC_1333          36  -18   2.0  -1.0  0.27  0.73  43.9   77.2   22.3  0.1  33 
NGC_1333          36   -0   2.0   0.0  2.17  0.58  81.7    7.8   17.2  0.1  33 
NGC_1333          36   18   2.0   1.0  3.09  1.08   3.5   10.0   13.6  0.2  25 
NGC_1333          53  -71   3.0  -4.0  1.29  0.63 120.6   14.1   20.2  0.1  33 
NGC_1333          53  -53   3.0  -3.0  0.58  0.55  60.1   27.3   22.2  0.1  33 
NGC_1333          53  -36   3.0  -2.0  1.01  0.59 100.7   16.7   19.5  0.1  33 
NGC_1333          53  -18   3.0  -1.0  3.48  0.93  79.3    7.7   15.0  0.2  25 
NGC_1333          53   -0   3.0   0.0  3.11  2.04 142.8   18.7   12.1  0.2  25 
NGC_1333          53   18   3.0   1.0  1.18  1.22 107.5   30.2   10.4  0.2  25 
NGC_1333          71  -53   4.0  -3.0  2.99  0.82 137.5    7.9   16.5  0.2  25 
NGC_1333          71  -36   4.0  -2.0  1.67  1.07 159.5   18.4   15.2  0.2  25 
NGC_1333          71  -18   4.0  -1.0  1.70  1.62  37.3   27.3   10.6  0.2  25 
NGC_1333         -45  -62  -2.5  -3.5  1.11  0.75 143.9   19.3   20.0  0.2   8 
NGC_1333         -45  -44  -2.5  -2.5  0.10  0.71  35.0  202.6   26.4  0.3   8 
NGC_1333         -45  -27  -2.5  -1.5  1.38  0.60 106.1   12.7   22.1  0.3   8 
NGC_1333         -45   -9  -2.5  -0.5  0.21  1.47   6.7  200.7   14.0  0.3   8 
NGC_1333         -27  -80  -1.5  -4.5  1.20  0.80  44.5   19.1   21.6  0.2   8 
NGC_1333         -27  -62  -1.5  -3.5  0.35  1.22   3.5   99.3   28.6  0.3   8 
NGC_1333         -27  -44  -1.5  -2.5  1.12  0.26  79.7    6.8   36.6  0.1  31 
NGC_1333         -27  -27  -1.5  -1.5  0.73  0.24 113.7    9.5   51.7  0.1  31 
NGC_1333         -27   -9  -1.5  -0.5  0.77  0.24 110.6    8.9   35.0  0.1  30 
NGC_1333         -27    9  -1.5   0.5  0.29  0.55   8.9   54.3   20.2  0.1  31 
NGC_1333          -9  -80  -0.5  -4.5  0.10  0.67  76.7  183.4   26.0  0.3   8 
NGC_1333          -9  -62  -0.5  -3.5  0.71  0.32  80.7   13.1   30.7  0.1  31 
NGC_1333          -9  -44  -0.5  -2.5  1.19  0.57  82.2   13.7   31.2  0.1  30 
NGC_1333          -9  -27  -0.5  -1.5  1.20  0.24  88.0    5.7   41.1  0.1  31 
NGC_1333          -9   -9  -0.5  -0.5  0.17  0.18  86.0   28.8   75.3  0.1  31 
NGC_1333          -9    9  -0.5   0.5  0.80  0.37 118.1   13.4   32.2  0.1  30 
NGC_1333          -9   27  -0.5   1.5  1.50  0.90 165.4   17.0   14.5  0.2  23 
NGC_1333           9  -80   0.5  -4.5  2.68  0.84  99.7    9.2   24.4  0.3   8 
NGC_1333           9  -62   0.5  -3.5  1.12  0.49 106.5   12.5   23.7  0.1  31 
NGC_1333           9  -44   0.5  -2.5  0.72  0.39  72.9   15.3   26.8  0.1  31 
NGC_1333           9  -27   0.5  -1.5  0.87  0.58 103.9   19.1   23.3  0.1  31 
NGC_1333           9   -9   0.5  -0.5  0.31  0.34  83.0   30.7   27.3  0.1  31 
NGC_1333           9    9   0.5   0.5  0.68  0.59  27.2   24.5   24.3  0.1  31 
NGC_1333           9   27   0.5   1.5  1.72  1.31  92.9   21.8   15.2  0.2  23 
NGC_1333          27  -80   1.5  -4.5  1.09  1.35  43.9   35.4   22.6  0.4   8 
NGC_1333          27  -62   1.5  -3.5  1.57  0.52  89.9    9.4   22.0  0.1  31 
NGC_1333          27  -44   1.5  -2.5  3.14  0.45  89.0    4.1   25.3  0.1  31 
NGC_1333          27  -27   1.5  -1.5  1.32  0.41 102.5    8.9   29.4  0.1  31 
NGC_1333          27   -9   1.5  -0.5  1.12  0.78  50.2   20.0   22.8  0.1  31 
NGC_1333          27    9   1.5   0.5  0.77  0.53 111.4   20.1   19.4  0.1  31 
NGC_1333          27   27   1.5   1.5  2.38  1.03 153.2   12.7   14.8  0.2  23 
NGC_1333          44  -62   2.5  -3.5  0.84  0.60  85.8   20.5   22.8  0.1  30 
NGC_1333          44  -44   2.5  -2.5  0.49  0.50 125.6   29.1   25.2  0.1  31 
NGC_1333          44  -27   2.5  -1.5  0.62  0.53 101.3   24.4   23.2  0.1  30 
NGC_1333          44   -9   2.5  -0.5  2.58  0.86  75.5    9.7   17.7  0.2  23 
NGC_1333          44    9   2.5   0.5  2.32  1.87 170.0   22.9   14.2  0.2  23 
NGC_1333          44   27   2.5   1.5  1.33  1.05  91.5   22.7   12.6  0.2  23 
NGC_1333          62  -44   3.5  -2.5  1.58  0.73 153.8   13.3   20.3  0.2  23 
NGC_1333          62  -27   3.5  -1.5  2.02  0.99 121.6   14.3   17.6  0.2  23 
NGC_1333          62   -9   3.5  -0.5  1.06  1.33  63.7   36.5   13.4  0.2  23 
NGC_1333         -53  -34  -3.0  -1.9  9.38  8.59 118.3   26.0   10.4  0.9   6 
NGC_1333         -53  -16  -3.0  -0.9 16.23 11.25 178.1   19.8    8.1  1.0   6 
NGC_1333         -53    1  -3.0   0.1 24.23 12.68 119.4   15.1    7.6  0.8   6 
NGC_1333         -53   19  -3.0   1.1 30.58 19.18  66.5   17.7    5.5  0.8   6 
NGC_1333         -35  -52  -2.0  -2.9 10.40  5.79  95.3   16.0   17.8  1.0   6 
NGC_1333         -35  -34  -2.0  -1.9  8.92  3.15 178.3   10.1   19.8  0.4  13 
NGC_1333         -35  -16  -2.0  -0.9  6.75  3.57  48.2   15.1   16.3  0.5  14 
NGC_1333         -35    1  -2.0   0.1 11.55  5.78 122.8   14.2   10.0  0.4  14 
NGC_1333         -35   19  -2.0   1.1  3.11 10.76 124.0   95.0    5.8  0.3  14 
NGC_1333         -35   37  -2.0   2.1 36.81 15.06 103.9   11.9    5.4  0.8   7 
NGC_1333         -17  -52  -1.0  -2.9  6.42  3.25  81.3   14.4   19.5  0.4  13 
NGC_1333         -17  -34  -1.0  -1.9  5.82  2.38  79.3   11.7   26.5  0.4  14 
NGC_1333         -17  -16  -1.0  -0.9  3.81  1.68  33.6   12.7   33.9  0.5  14 
NGC_1333         -17    1  -1.0   0.1  1.24  3.42 129.2   78.9   17.9  0.4  14 
NGC_1333         -17   19  -1.0   1.1 11.82  7.88  78.3   19.1    8.0  0.3  14 
NGC_1333         -17   37  -1.0   2.1 12.77 10.72  81.9   24.1    5.5  0.4  14 
NGC_1333           1  -52   0.0  -2.9  9.42  4.01  54.1   12.1   16.2  0.5  13 
NGC_1333           1  -34   0.0  -1.9  4.08  2.86  36.5   20.1   18.5  0.4  14 
NGC_1333           1  -16   0.0  -0.9  2.68  1.68  65.5   17.6   45.0  0.9  14 
NGC_1333           1    1   0.0   0.1  0.79  1.95 141.6   71.0   29.8  0.4  14 
NGC_1333           1   19   0.0   1.1  9.57  5.37  18.2   15.9   10.0  0.4  14 
NGC_1333           1   37   0.0   2.1  9.75 13.08 162.0   37.6    5.0  0.3  14 
NGC_1333          18  -52   1.0  -2.9  8.31  4.79 134.4   16.5   14.1  0.6  13 
NGC_1333          18  -34   1.0  -1.9  3.60  3.73 142.1   29.6   14.0  0.4  14 
NGC_1333          18  -16   1.0  -0.9  1.27  1.81  21.2   40.7   39.2  1.3  14 
NGC_1333          18    1   1.0   0.1  1.09  3.65 155.1   96.1   17.0  0.6  14 
NGC_1333          18   19   1.0   1.1  7.15  6.07 116.7   24.0    9.4  0.4  14 
NGC_1333          18   37   1.0   2.1 23.88 11.03  32.6   12.6    6.2  0.4  14 
NGC_1333          36  -52   2.0  -2.9 13.07  6.23  51.5   13.5   10.8  0.7   7 
NGC_1333          36  -34   2.0  -1.9  3.97  4.28  48.7   31.0   12.4  0.4  14 
NGC_1333          36  -16   2.0  -0.9  5.88  4.32 178.4   21.0   12.5  0.4  14 
NGC_1333          36    1   2.0   0.1  7.85  4.60  39.1   16.6   16.8  1.0  14 
NGC_1333          36   19   2.0   1.1 10.65  9.97 173.6   26.8    6.7  0.4  14 
