Title: 350 micron Polarimetry from the Caltech Submillimeter Observatory  
Authors: Dotson J.L., Vaillancourt J.E., Kirby L., Dowell C.D., Hildebrand R.H.,
         Davidson J.A.
Table: Data
================================================================================
Byte-by-byte Description of file: apjs333144t2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units  Label Explanations
--------------------------------------------------------------------------------
   1- 15 A15    ---    Name  Object name
  17- 20 I4     arcsec oRA   Right Ascension offset from center 
  22- 25 I4     arcsec oDE   Declination offset from center
  27- 31 F5.1   pix    oX    X pixel offset from center (1) 
  33- 37 F5.1   pix    oY    Y pixel offset from center (1)
  39- 43 F5.2   %      P     Polarization magnitude
  45- 49 F5.2   %    e_P     Uncertainty in P
  51- 55 F5.1   deg    PA    Polarization position angle; degrees east of north
  57- 62 F6.1   deg  e_PA    Uncertainty in PA
  64- 69 F6.1   Jy     Int   Source intensity in units of Jy/beam
  71- 74 F4.1   Jy   e_Int   Uncertainty in Int in units of Jy/beam
  76- 78 I3     ---    Num   Number of measurements
--------------------------------------------------------------------------------
Note (1): oX is parallel to RA, except M17 is 16 degrees CW from RA and M82 
          is 24 degrees CW from RA.  oY is parallel to Dec, except M17 is 
          16 degrees CW from Dec and M82 is 24 degrees CW from Dec. Pixel 
          offsets in the x- and y-directions are given in units of the pixel
          center-to-center spacing, 17.8 arcseconds. Right Ascension and 
          Declination offsets are calculated using this spacing and are 
          rounded to the nearest arcsecond; offsets are given with respect to 
Rho_Oph           36  -53   2.0  -3.0  1.98  0.49 172.5    7.1   45.0  0.7  25 
Rho_Oph           36  -36   2.0  -2.0  1.70  0.27 168.2    3.9   62.3  0.2  61 
Rho_Oph           36  -18   2.0  -1.0  2.10  0.21 156.2    2.8   53.8  0.1  82 
Rho_Oph           36   -0   2.0   0.0  2.25  0.24 163.0    3.1   44.2  0.1  88 
Rho_Oph           36   18   2.0   1.0  2.51  0.29 163.5    3.3   39.7  0.2  79 
Rho_Oph           36   36   2.0   2.0  2.46  0.34 152.9    4.0   36.2  0.0  51 
Rho_Oph           36   53   2.0   3.0  2.78  0.49 152.1    5.1   30.3  0.4  24 
Rho_Oph           36   71   2.0   4.0  2.96  0.88 126.0    8.3   36.4  1.2   4 
Rho_Oph           53  -53   3.0  -3.0  1.57  0.99 175.4   15.6   46.8  4.0   7 
Rho_Oph           53  -36   3.0  -2.0  1.64  0.59 162.5   10.4   48.7  0.9  16 
Rho_Oph           53  -18   3.0  -1.0  3.58  0.52 158.7    4.2   39.4  0.3  31 
Rho_Oph           53   -0   3.0   0.0  3.32  0.55 162.8    4.8   32.9  0.3  35 
Rho_Oph           53   18   3.0   1.0  3.05  0.84 174.4    8.0   28.3  0.6  28 
Rho_Oph           53   36   3.0   2.0  3.82  0.80 164.4    6.0   23.9  0.6  19 
Rho_Oph           53   53   3.0   3.0  5.48  1.19 136.8    6.2   23.8  1.2   4 
Rho_Oph          -68  -72  -3.8  -4.0  5.10  2.15   0.9   12.1   21.9  2.4   4 
Rho_Oph          -68  -54  -3.8  -3.0  1.81  1.44 124.9   22.7   23.7  1.1   9 
Rho_Oph          -68  -36  -3.8  -2.0  1.52  1.45  98.8   27.5   25.0  1.1   9 
Rho_Oph          -68  -18  -3.8  -1.0  2.65  1.39 110.8   15.7   25.1  1.0   9 
Rho_Oph          -68   -0  -3.8  -0.0  3.42  1.96  60.9   16.4   24.4  1.9   5 
Rho_Oph          -51  -89  -2.8  -5.0  3.83  2.83   9.1   21.1   19.4  2.3   4 
Rho_Oph          -51  -72  -2.8  -4.0  0.73  1.54 155.3   61.0   21.9  0.9  10 
Rho_Oph          -51  -54  -2.8  -3.0  2.19  1.13  59.3   14.9   29.5  0.9  11 
Rho_Oph          -51  -36  -2.8  -2.0  1.33  0.89   9.3   19.2   36.6  0.8  11 
Rho_Oph          -51  -18  -2.8  -1.0  1.89  1.03 138.5   15.5   34.7  0.9  11 
Rho_Oph          -51   -0  -2.8  -0.0  2.54  1.08  22.7   12.1   32.6  0.9  10 
Rho_Oph          -51   17  -2.8   1.0  1.02  1.36  71.3   36.9   31.0  1.9   5 
Rho_Oph          -33  -89  -1.8  -5.0  2.56  2.55 176.5   28.4   19.1  1.7   5 
Rho_Oph          -33  -72  -1.8  -4.0  1.66  1.33  50.4   22.9   24.4  0.8  11 
Rho_Oph          -33  -54  -1.8  -3.0  1.25  0.84 175.4   19.2   36.4  0.9  11 
Rho_Oph          -33  -36  -1.8  -2.0  0.38  0.56 139.7   42.7   64.7  1.0  11 
Rho_Oph          -33  -18  -1.8  -1.0  1.83  0.72 146.3   11.1   59.1  1.0  11 
Rho_Oph          -33   -0  -1.8  -0.0  1.28  0.82 174.8   18.2   43.1  0.8  11 
Rho_Oph          -33   17  -1.8   1.0  0.71  1.08 122.2   45.2   43.5  1.6   6 
Rho_Oph          -15  -89  -0.8  -5.0  5.39  2.71 142.2   14.5   20.3  1.7   5 
Rho_Oph          -15  -72  -0.8  -4.0  2.00  1.32 124.7   18.9   25.2  0.8  11 
Rho_Oph          -15  -54  -0.8  -3.0  1.71  0.73  48.5   12.1   40.4  0.8  11 
Rho_Oph          -15  -36  -0.8  -2.0  1.21  0.35 160.3    8.3   87.7  0.9  11 
Rho_Oph          -15  -18  -0.8  -1.0  0.91  0.36 153.1   11.3   83.0  0.8  11 
Rho_Oph          -15   -0  -0.8  -0.0  1.91  0.35 174.7    5.3   94.8  0.8  11 
Rho_Oph          -15   17  -0.8   1.0  1.84  0.48 161.4    7.4   88.7  1.6   6 
Rho_Oph            3  -89   0.2  -5.0  5.68  1.95   4.9    9.8   22.4  1.8   5 
Rho_Oph            3  -72   0.2  -4.0  1.53  1.01 156.0   18.8   29.4  0.8  11 
Rho_Oph            3  -54   0.2  -3.0  1.09  0.73 171.7   18.9   41.0  0.8  11 
Rho_Oph            3  -36   0.2  -2.0  1.49  0.39 147.4    7.5   75.6  0.8  11 
Rho_Oph            3  -18   0.2  -1.0  1.34  0.31 142.6    6.6  103.0  0.8  11 
Rho_Oph            3   -0   0.2  -0.0  1.92  0.31 151.2    4.7  112.9  0.9  11 
Rho_Oph            3   17   0.2   1.0  2.39  0.62 161.0    7.3   91.3  1.6   6 
Rho_Oph           21  -72   1.2  -4.0  2.55  1.07 149.6   12.2   37.1  1.5   6 
Rho_Oph           21  -54   1.2  -3.0  1.98  0.62 168.4    8.9   48.6  0.8  11 
Rho_Oph           21  -36   1.2  -2.0  1.20  0.43 151.5    9.9   71.4  0.8  11 
Rho_Oph           21  -18   1.2  -1.0  1.09  0.43 165.4   11.2   74.7  0.9  11 
Rho_Oph           21   -0   1.2  -0.0  3.24  0.60 173.3    5.3   63.6  1.4   7 
IRAS_16293-2422  -53  -18  -3.0  -1.0  1.14  1.98 160.4   49.4   17.2  3.2  53 
IRAS_16293-2422  -53    0  -3.0   0.0  1.89  1.76  55.9   26.6   16.9  3.2  52 
IRAS_16293-2422  -53   18  -3.0   1.0  0.86  1.64  35.1   54.8   17.6  3.1  48 
IRAS_16293-2422  -36  -36  -2.0  -2.0  0.99  1.27  13.5   36.8   20.6  1.8  67 
IRAS_16293-2422  -36  -18  -2.0  -1.0  1.17  0.79   1.9   19.3   27.9  1.3  74 
IRAS_16293-2422  -36    0  -2.0   0.0  1.29  0.68  19.2   15.3   31.1  1.3  75 
IRAS_16293-2422  -36   18  -2.0   1.0  0.75  0.65  94.7   24.8   34.3  1.3  71 
IRAS_16293-2422  -36   36  -2.0   2.0  1.06  0.93  76.7   24.8   37.0  2.4  54 
IRAS_16293-2422  -18  -53  -1.0  -3.0  3.09  2.09 163.2   19.4   14.7  1.8  58 
IRAS_16293-2422  -18  -36  -1.0  -2.0  1.20  0.67  59.6   16.2   25.3  1.2  82 
IRAS_16293-2422  -18  -18  -1.0  -1.0  0.95  0.38 161.9   11.3   47.9  1.2  81 
IRAS_16293-2422  -18    0  -1.0   0.0  1.01  0.34  34.0    7.8   83.1  1.3  82 
IRAS_16293-2422  -18   18  -1.0   1.0  0.47  0.38  87.7   23.0   58.7  1.4  74 
IRAS_16293-2422  -18   36  -1.0   2.0  0.58  0.57 113.3   28.2   38.3  1.4  66 
IRAS_16293-2422  -18   53  -1.0   3.0  1.25  1.49  97.5   34.3   30.2  4.2  16 
IRAS_16293-2422   -0  -71   0.0  -4.0  6.13  6.01  93.4   28.2    5.2  0.7  15 
IRAS_16293-2422   -0  -53   0.0  -3.0  0.65  1.69  65.3   74.3   16.4  1.6  65 
IRAS_16293-2422   -0  -36   0.0  -2.0  0.15  0.56  31.4  103.0   30.2  1.1  83 
IRAS_16293-2422   -0  -18   0.0  -1.0  0.38  0.25  34.3   16.9   73.7  1.2  83 
IRAS_16293-2422    0    0   0.0   0.0  0.33  0.07  39.1    7.8  244.3  1.4  83 
IRAS_16293-2422    0   18   0.0   1.0  0.70  0.24  78.8    9.6   78.9  1.2  82 
IRAS_16293-2422    0   36   0.0   2.0  0.76  0.62  62.9   23.2   34.0  1.4  66 
IRAS_16293-2422    0   53   0.0   3.0  0.69  1.24 133.8   51.7   29.2  4.2  17 
IRAS_16293-2422   18  -71   1.0  -4.0  5.28  4.72  91.2   25.5    7.3  0.8  15 
IRAS_16293-2422   18  -53   1.0  -3.0  2.28  1.14  60.2   14.3   18.7  1.0  65 
IRAS_16293-2422   18  -36   1.0  -2.0  1.61  0.50  94.4    8.8   32.0  1.0 104 
IRAS_16293-2422   18  -18   1.0  -1.0  0.56  0.28  83.8   14.1   51.2  1.1 104 
IRAS_16293-2422   18   -0   1.0   0.0  0.19  0.14  49.5   20.0   86.4  1.1 106 
IRAS_16293-2422   18   18   1.0   1.0  0.90  0.30 110.7    9.6   54.8  1.1  82 
IRAS_16293-2422   18   36   1.0   2.0  1.27  0.61 129.4   16.8   32.4  1.3  66 
IRAS_16293-2422   18   53   1.0   3.0  0.64  1.23  44.5   55.2   26.4  3.8  17 
IRAS_16293-2422   36  -71   2.0  -4.0  3.55  1.41  79.5   11.4    9.0  1.3  33 
IRAS_16293-2422   36  -53   2.0  -3.0  1.97  1.02  89.2   14.8   33.9  7.9  49 
IRAS_16293-2422   36  -36   2.0  -2.0  1.27  0.60  80.7   13.5   29.1  1.0  96 
IRAS_16293-2422   36  -18   2.0  -1.0  0.72  0.44 106.3   17.9   33.4  1.0 105 
IRAS_16293-2422   36   -0   2.0   0.0  0.51  0.31  92.9   17.6   42.2  1.0 108 
IRAS_16293-2422   36   18   2.0   1.0  1.16  0.35 102.6    8.6   36.6  1.0 101 
IRAS_16293-2422   36   36   2.0   2.0  0.77  0.88 114.6   32.9   25.7  3.4  28 
IRAS_16293-2422   36   53   2.0   3.0  3.24  4.61 152.0   41.4   30.1  8.6   8 
IRAS_16293-2422   53  -71   3.0  -4.0  1.79  1.36 138.4   21.9   12.8  0.1  31 
IRAS_16293-2422   53  -53   3.0  -3.0  0.46  0.81  48.6   50.6   16.0  1.1  34 
IRAS_16293-2422   53  -36   3.0  -2.0  0.51  0.81 102.2   45.6   34.6  7.8  45 
IRAS_16293-2422   53  -18   3.0  -1.0  1.84  0.52  71.1    8.0   43.9  2.1  54 
IRAS_16293-2422   53   -0   3.0   0.0  0.76  0.54 128.0   22.3   33.2  1.8  53 
IRAS_16293-2422   53   18   3.0   1.0  1.64  0.55 104.4    9.7   28.0  3.1  51 
IRAS_16293-2422   53   36   3.0   2.0  0.55  4.45 176.0  211.3   34.1  8.3   8 
IRAS_16293-2422   71  -71   4.0  -4.0  1.80  2.10  68.0   33.5   13.4  0.2  24 
IRAS_16293-2422   71  -53   4.0  -3.0  1.25  1.09  90.1   25.0   17.0  0.1  31 
IRAS_16293-2422   71  -36   4.0  -2.0  1.90  0.63 102.5    9.6   20.4  0.1  31 
IRAS_16293-2422   71  -18   4.0  -1.0  1.72  0.76  97.6   12.7   32.0  0.2  30 
IRAS_16293-2422   71   -0   4.0   0.0  1.72  0.69 127.3   11.5   20.6  0.1  31 
IRAS_16293-2422   71   18   4.0   1.0  2.01  0.94 133.3   13.4   17.2  0.2  24 
IRAS_16293-2422   89  -71   5.0  -4.0  2.31  1.40  69.6   17.3   13.3  0.2  24 
IRAS_16293-2422   89  -53   5.0  -3.0  1.38  1.06  80.7   21.8   16.2  0.1  24 
IRAS_16293-2422   89  -36   5.0  -2.0  1.54  0.88  98.4   16.6   26.0  0.2  24 
IRAS_16293-2422   89  -18   5.0  -1.0  0.14  0.67 100.4  140.1   24.4  0.2  24 
IRAS_16293-2422   89   -0   5.0   0.0  0.38  1.55  86.6  115.7   17.3  0.2  24 
IRAS_16293-2422   89   18   5.0   1.0  0.47  1.21 172.2   72.8   14.0  0.2  24 
IRAS_16293-2422  107  -53   6.0  -3.0  4.75  1.35  85.6    8.1   13.6  0.1  24 
IRAS_16293-2422  107  -36   6.0  -2.0  1.43  1.02 130.3   20.5   13.4  0.1  24 
IRAS_16293-2422  107  -18   6.0  -1.0  0.14  1.21 114.3  247.5   17.1  0.2  24 
IRAS_16293-2422  107   -0   6.0   0.0  3.47  1.31 144.1   10.7   13.4  0.1  24 
CB68             -53  -18  -3.0  -1.0  1.93  3.24 159.4   48.1    1.1  0.2 105 
CB68             -53    0  -3.0   0.0  3.38  3.44 130.8   29.5    1.1  0.2 105 
CB68             -53   18  -3.0   1.0  4.51  3.02  78.2   19.3    1.2  0.2 105 
CB68             -36  -36  -2.0  -2.0  4.66  2.31 147.7   14.2    1.9  0.2 140 
CB68             -36  -18  -2.0  -1.0  0.89  1.74 148.3   56.0    2.0  0.2 156 
CB68             -36    0  -2.0   0.0  2.81  1.55 143.2   15.8    2.7  0.1 156 
CB68             -36   18  -2.0   1.0  1.49  1.74  70.3   33.6    2.6  0.1 155 
CB68             -36   36  -2.0   2.0  4.41  2.30  78.4   14.8    2.0  0.2 121 
CB68             -36   53  -2.0   3.0  4.89  8.24  55.6   47.9    1.6  0.4  48 
CB68             -18  -53  -1.0  -3.0  0.80  2.51 103.6   89.2    1.7  0.3  92 
CB68             -18  -36  -1.0  -2.0  1.08  1.32  55.3   34.9    3.7  0.2 156 
CB68             -18  -18  -1.0  -1.0  0.22  0.78   1.6  101.1    7.8  0.2 144 
CB68             -18    0  -1.0   0.0  1.61  0.71 175.9   12.6    9.3  0.2 145 
CB68             -18   18  -1.0   1.0  3.17  0.95 152.1    8.6    6.1  0.2 154 
CB68             -18   36  -1.0   2.0  3.81  1.51  56.5   11.3    3.1  0.1 156 
CB68             -18   53  -1.0   3.0  5.02  3.49  59.6   19.8    3.1  0.4  64 
CB68              -0  -53   0.0  -3.0  1.63  2.10 121.3   36.8    2.0  0.2  92 
CB68              -0  -36   0.0  -2.0  1.00  1.27  32.0   36.5    4.3  0.2 156 
CB68              -0  -18   0.0  -1.0  0.26  0.80 144.7   88.0    7.7  0.2 150 
CB68               0    0   0.0   0.0  0.31  0.42 135.2   39.0   14.0  0.2 156 
CB68               0   18   0.0   1.0  0.56  0.61  28.1   31.5    9.7  0.2 153 
CB68               0   36   0.0   2.0  1.51  1.37 163.4   29.6    4.1  0.2 156 
CB68               0   53   0.0   3.0  2.84  2.83  24.5   28.6    3.3  0.4  64 
CB68              18  -53   1.0  -3.0  1.70  2.43  20.2   40.9    1.9  0.2  92 
CB68              18  -36   1.0  -2.0  0.40  1.57  84.8  111.4    3.2  0.2 156 
CB68              18  -18   1.0  -1.0  3.34  1.16  79.7    9.9    4.8  0.2 156 
CB68              18   -0   1.0   0.0  0.69  0.83  23.2   34.4    7.4  0.2 156 
CB68              18   18   1.0   1.0  2.28  1.02  96.9   12.8    5.4  0.2 155 
CB68              18   36   1.0   2.0  1.25  1.50  65.7   34.4    3.4  0.2 156 
CB68              18   53   1.0   3.0  3.51  3.38  64.5   27.6    2.0  0.4  64 
CB68              36  -36   2.0  -2.0  2.55  1.92  94.6   21.5    2.3  0.2 108 
CB68              36  -18   2.0  -1.0  1.87  1.73 114.2   26.4    3.0  0.2 156 
CB68              36   -0   2.0   0.0  1.88  1.65  25.7   25.2    2.9  0.1 156 
CB68              36   18   2.0   1.0  4.17  1.81 138.1   12.4    2.7  0.1 156 
CB68              36   36   2.0   2.0  6.20  3.26  26.1   15.1    2.2  0.2  99 
CB68              36   53   2.0   3.0  8.08  4.98  61.5   17.8    4.7  1.2  16 
CB68              53  -18   3.0  -1.0  4.62  3.68   9.9   22.8    1.7  0.0  51 
CB68              53   -0   3.0   0.0  0.26  3.83  56.3  430.4    1.8  0.0  51 
CB68              53   36   3.0   2.0  1.28  4.24 113.2   95.1    4.6  1.3  16 
NGC_6334V        -53  -36  -3.0  -2.0  1.80  0.61 132.2    9.7  144.3  6.2   5 
NGC_6334V        -53  -18  -3.0  -1.0  0.77  0.31 143.0   11.4  198.6  3.2  10 
NGC_6334V        -53    0  -3.0   0.0  0.33  0.25 169.0   22.0  231.4  3.1  10 
NGC_6334V        -53   18  -3.0   1.0  0.80  0.30  26.1   10.6  205.3  3.2  10 
NGC_6334V        -53   36  -3.0   2.0  0.67  0.53  63.6   22.7  156.2  6.4   5 
NGC_6334V        -36  -53  -2.0  -3.0  0.37  0.58   9.9   45.3  140.1  5.7   5 
NGC_6334V        -36  -36  -2.0  -2.0  0.53  0.27 125.1   15.0  184.2  2.2  15 
NGC_6334V        -36  -18  -2.0  -1.0  0.70  0.15 150.7    6.2  261.7  1.7  20 
NGC_6334V        -36    0  -2.0   0.0  0.31  0.12 154.9   10.6  346.8  1.7  20 
NGC_6334V        -36   18  -2.0   1.0  0.24  0.16   3.2   20.0  253.0  1.7  20 
NGC_6334V        -36   36  -2.0   2.0  0.03  0.28  25.4  236.8  170.1  2.3  15 
NGC_6334V        -36   53  -2.0   3.0  2.48  0.75  31.7    8.3  111.7  6.6   5 
NGC_6334V        -18  -53  -1.0  -3.0  0.90  0.38 112.7   12.4  154.8  3.2  10 
NGC_6334V        -18  -36  -1.0  -2.0  0.34  0.20 146.1   16.0  217.2  1.7  20 
NGC_6334V        -18  -18  -1.0  -1.0  0.12  0.12 166.8   28.5  345.6  1.8  20 
NGC_6334V        -18    0  -1.0   0.0  0.09  0.09 156.6   31.0  472.7  1.7  20 
NGC_6334V        -18   18  -1.0   1.0  0.20  0.14  64.1   20.0  306.5  1.8  20 
NGC_6334V        -18   36  -1.0   2.0  0.68  0.24 106.3   10.3  176.2  1.7  20 
NGC_6334V        -18   53  -1.0   3.0  0.42  0.56 133.7   38.3  109.6  3.6  10 
NGC_6334V         -0  -53   0.0  -3.0  1.10  0.40  69.4   10.3  160.3  3.2  10 
NGC_6334V         -0  -36   0.0  -2.0  0.58  0.17  74.9    8.6  233.0  1.7  20 
NGC_6334V         -0  -18   0.0  -1.0  0.38  0.10  79.5    7.2  410.5  1.9  20 
NGC_6334V          0    0   0.0   0.0  0.24  0.06 115.7    7.5  652.8  1.8  20 
NGC_6334V          0   18   0.0   1.0  0.01  0.15 146.6  355.2  280.0  1.8  20 
NGC_6334V          0   36   0.0   2.0  0.51  0.29 163.6   16.0  141.4  1.7  20 
NGC_6334V          0   53   0.0   3.0  0.82  0.70 119.4   24.4   84.1  3.7  10 
NGC_6334V         18  -53   1.0  -3.0  0.26  0.42  59.4   45.7  144.8  3.2  10 
NGC_6334V         18  -36   1.0  -2.0  0.83  0.21  83.2    7.4  193.4  1.7  20 
NGC_6334V         18  -18   1.0  -1.0  0.60  0.14  87.4    6.8  280.1  1.8  20 
NGC_6334V         18   -0   1.0   0.0  0.16  0.11  68.4   19.3  398.7  1.8  20 
NGC_6334V         18   18   1.0   1.0  0.62  0.22 112.2   10.0  182.2  1.7  20 
NGC_6334V         18   36   1.0   2.0  0.68  0.39  88.2   16.4   97.7  1.6  20 
NGC_6334V         18   53   1.0   3.0  2.59  0.98 122.2   10.8   58.6  3.6  10 
NGC_6334V         36  -53   2.0  -3.0  1.32  0.76  55.8   16.5  114.1  6.7   5 
NGC_6334V         36  -36   2.0  -2.0  0.16  0.42  98.5   78.3  114.7  2.1  15 
NGC_6334V         36  -18   2.0  -1.0  0.99  0.34 112.6    9.9  125.9  1.7  20 
NGC_6334V         36   -0   2.0   0.0  0.83  0.30 111.8   10.8  143.1  1.7  20 
NGC_6334V         36   18   2.0   1.0  0.73  0.39 115.6   15.4  109.9  1.6  20 
NGC_6334V         36   36   2.0   2.0  1.01  0.60 121.8   16.6   71.0  2.2  15 
NGC_6334V         36   53   2.0   3.0  2.30  1.59 123.3   19.5   53.1  7.4   5 
NGC_6334V         53  -36   3.0  -2.0  1.40  1.05  52.2   21.4   76.4  6.7   5 
NGC_6334V         53  -18   3.0  -1.0  2.45  0.81 102.0    9.4   77.0  3.4  10 
NGC_6334V         53   -0   3.0   0.0  0.33  0.94  37.4   82.6   75.6  3.3  10 
NGC_6334V         53   18   3.0   1.0  1.59  0.86  82.5   15.4   69.1  3.3  10 
NGC_6334V         53   36   3.0   2.0  1.39  1.34 114.7   27.9   57.8  7.0   5 
NGC_6334A        -53  -36  -3.0  -2.0  1.25  0.58  73.7   13.2  148.9  3.4   6 
NGC_6334A        -53  -18  -3.0  -1.0  1.75  0.35  80.7    5.8  177.1  2.6  10 
NGC_6334A        -53    0  -3.0   0.0  1.73  0.34  67.7    5.6  179.4  2.9  10 
NGC_6334A        -53   18  -3.0   1.0  3.24  0.42  78.2    3.7  118.7  2.4  19 
NGC_6334A        -53   36  -3.0   2.0  4.05  0.77  85.3    5.4   89.0  4.6  13 
NGC_6334A        -53   53  -3.0   3.0  4.41  1.40  74.1    9.0   83.8  3.9   9 
NGC_6334A        -53   71  -3.0   4.0  7.13  2.06  69.6    8.3   72.4  4.1   9 
NGC_6334A        -36  -53  -2.0  -3.0  2.17  0.65  82.7    8.4  111.8  3.1   6 
NGC_6334A        -36  -36  -2.0  -2.0  1.09  0.29  85.5    7.5  176.9  1.6  14 
NGC_6334A        -36  -18  -2.0  -1.0  0.89  0.19  76.6    6.1  244.9  1.2  18 
NGC_6334A        -36    0  -2.0   0.0  1.07  0.18  66.5    4.9  220.3  1.8  28 
NGC_6334A        -36   18  -2.0   1.0  1.70  0.40  66.5    6.5  166.6  1.1  37 
NGC_6334A        -36   36  -2.0   2.0  2.70  0.35  64.2    3.9  128.7  1.2  33 
NGC_6334A        -36   53  -2.0   3.0  3.16  0.57  68.6    5.2   94.8  4.4  23 
NGC_6334A        -36   71  -2.0   4.0  3.83  0.97  60.4    7.3   76.8  1.9  18 
NGC_6334A        -36   89  -2.0   5.0  5.06  1.63  75.5    9.0   59.0  3.9   9 
NGC_6334A        -18  -53  -1.0  -3.0  2.85  0.46  91.8    4.6  138.2  1.8  10 
NGC_6334A        -18  -36  -1.0  -2.0  2.34  0.22  86.3    2.7  198.4  1.2  18 
NGC_6334A        -18  -18  -1.0  -1.0  0.54  0.11  61.3    5.7  381.1 12.0  19 
NGC_6334A        -18    0  -1.0   0.0  0.85  0.10  50.7    3.2  393.0  1.2  37 
NGC_6334A        -18   18  -1.0   1.0  1.06  0.15  62.8    4.1  260.7  1.1  37 
NGC_6334A        -18   36  -1.0   2.0  1.17  0.24  68.0    5.9  168.0  1.1  37 
NGC_6334A        -18   53  -1.0   3.0  1.54  0.39  69.9    7.4  113.0  1.8  27 
NGC_6334A        -18   71  -1.0   4.0  3.22  0.68  73.8    6.0   86.9  1.7  19 
NGC_6334A        -18   89  -1.0   5.0  3.52  1.19  57.1    9.6   62.4  1.9  18 
NGC_6334A         -0  -53   0.0  -3.0  2.24  0.38  98.0    4.9  166.6  1.7  10 
NGC_6334A         -0  -36   0.0  -2.0  1.75  0.21  82.3    3.4  207.0  1.1  18 
NGC_6334A         -0  -18   0.0  -1.0  1.17  0.13  75.4    3.0  383.0 11.7  19 
NGC_6334A          0    0   0.0   0.0  0.45  0.17  52.8    5.6  484.8  1.1  37 
NGC_6334A          0   18   0.0   1.0  0.39  0.11  16.2    7.9  358.2  1.1  37 
NGC_6334A          0   36   0.0   2.0  1.26  0.20  62.5    4.5  185.6  1.0  37 
NGC_6334A          0   53   0.0   3.0  1.32  0.35  71.0    7.6  118.8  1.7  27 
NGC_6334A          0   71   0.0   4.0  1.32  0.65  62.1   14.0   87.6  1.6  19 
NGC_6334A          0   89   0.0   5.0  3.55  0.91  64.2    7.3   66.6  1.7  18 
NGC_6334A         18  -53   1.0  -3.0  1.39  0.33 107.3    6.9  186.8  1.6  10 
NGC_6334A         18  -36   1.0  -2.0  1.29  0.20  91.0    4.5  223.6  1.1  18 
NGC_6334A         18  -18   1.0  -1.0  1.07  0.15  74.6    4.1  318.7 11.3  19 
NGC_6334A         18   -0   1.0   0.0  0.64  0.10  33.4    5.3  412.6  1.0  37 
NGC_6334A         18   18   1.0   1.0  0.78  0.11  13.4    3.9  345.7  1.1  37 
NGC_6334A         18   36   1.0   2.0  0.46  0.25  52.7   13.2  178.0  1.0  37 
NGC_6334A         18   53   1.0   3.0  1.33  0.34  71.9    7.4  115.0  1.7  27 
NGC_6334A         18   71   1.0   4.0  2.28  0.61  57.8    7.7   88.2  1.6  19 
NGC_6334A         18   89   1.0   5.0  3.31  0.79  58.4    6.8   66.8  1.0  18 
NGC_6334A         36  -53   2.0  -3.0  0.85  0.46 100.8   15.7  217.8  3.2   4 
NGC_6334A         36  -36   2.0  -2.0  1.72  0.25  79.5    4.2  197.9  1.1  14 
NGC_6334A         36  -18   2.0  -1.0  1.53  0.29  71.3    5.0  277.0 10.1  19 
NGC_6334A         36   -0   2.0   0.0  0.79  0.15  43.8    5.4  316.0  1.0  28 
NGC_6334A         36   18   2.0   1.0  0.84  0.16  35.8    6.1  240.1  1.0  37 
NGC_6334A         36   36   2.0   2.0  1.16  0.25  52.4    6.0  164.3  1.2  31 
NGC_6334A         36   53   2.0   3.0  1.45  0.35  70.5    6.9  125.0  1.8  23 
NGC_6334A         36   71   2.0   4.0  2.35  0.54  65.8    6.5   94.9  1.0  19 
NGC_6334A         36   89   2.0   5.0  5.76  1.20  76.2    5.9   66.0  2.8   9 
NGC_6334A         53  -36   3.0  -2.0  1.58  0.45  57.7    8.3  211.0  3.6   4 
NGC_6334A         53  -18   3.0  -1.0  0.60  0.24  52.7   11.1  302.1  1.8   8 
NGC_6334A         53   -0   3.0   0.0  0.80  0.27  36.5    9.4  330.4 11.9   9 
NGC_6334A         53   18   3.0   1.0  1.67  0.29  43.9    5.1  197.3  1.7  18 
NGC_6334A         53   36   3.0   2.0  1.33  0.55  37.7    9.4  131.8  2.2  14 
NGC_6334A         53   53   3.0   3.0  1.22  0.63  49.0   14.8  123.7  2.8  10 
NGC_6334A         53   71   3.0   4.0  2.72  0.79  71.9    8.3   89.1  2.8   9 
NGC_6334I        -36  -36  -2.0  -2.0  0.63  0.26  66.7   11.7  394.9 26.6  15 
NGC_6334I        -36  -18  -2.0  -1.0  0.75  0.27  35.5    7.3  440.9 11.9  19 
NGC_6334I        -36    0  -2.0   0.0  0.73  0.17  36.8    6.5  492.3 11.9  20 
NGC_6334I        -36   18  -2.0   1.0  0.86  0.14  36.8    4.5  611.4 13.6  17 
NGC_6334I        -36   36  -2.0   2.0  0.70  0.17  45.0    6.8  608.7 19.6  14 
NGC_6334I        -18  -53  -1.0  -3.0  0.18  0.32  31.5   51.4  344.0 33.1  12 
NGC_6334I        -18  -36  -1.0  -2.0  0.56  0.25  66.7   13.3  439.9 13.2  18 
NGC_6334I        -18  -18  -1.0  -1.0  0.82  0.13  48.0    4.5  543.4 11.9  22 
NGC_6334I        -18    0  -1.0   0.0  0.54  0.08  56.6    4.0  737.6 11.7  22 
NGC_6334I        -18   18  -1.0   1.0  0.52  0.09  50.8    4.8  771.7 12.3  22 
NGC_6334I        -18   36  -1.0   2.0  0.89  0.13  42.4    4.0  623.7 11.9  18 
NGC_6334I        -18   53  -1.0   3.0  1.33  0.29  31.9    6.7  556.9 16.9   8 
